Dog Name,Adaptability,Adapts Well To Apartment Living,Good For Novice Dog Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All-around friendliness,Best Family Dogs,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Exercise needs,High Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Officially Recognized,Temperament,Height,Weight,Life Expectancy,FeaturedImageURL,AdditionalImageURLs
German Wirehaired Pointer,3,2,3,4,2,3,4,3,5,3,3,2,3,2,2,4,4,3,4,4,4,5,4,4,3,5,5,5,4,5,5,Yes,affectionate / eager / enthusiastic,24-26 inches (male),50-70 pounds,14-16 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/German Wirehaired Pointer/German Wirehaired Pointer-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/German Wirehaired Pointer/German Wirehaired Pointer-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/German Wirehaired Pointer/German Wirehaired Pointer-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/German Wirehaired Pointer/German Wirehaired Pointer-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/German Wirehaired Pointer/German Wirehaired Pointer-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/German Wirehaired Pointer/German Wirehaired Pointer-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/German Wirehaired Pointer/German Wirehaired Pointer-6.jpg
Giant Schnauzer,2,1,1,4,2,4,2,3,5,3,3,2,3,4,1,2,4,3,4,4,5,4,3,4,4,4,4,5,2,5,5,Yes,alert / loyal / trainable,25.5-27.5 inches (male),60-85 pounds (male),12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Giant Schnauzer/Giant Schnauzer-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Giant Schnauzer/Giant Schnauzer-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Giant Schnauzer/Giant Schnauzer-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Giant Schnauzer/Giant Schnauzer-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Giant Schnauzer/Giant Schnauzer-4.jpg
Glen of Imaal Terrier,3,4,2,3,3,3,4,4,5,5,2,3,3,1,1,5,5,3,1,4,4,4,3,5,4,3,4,4,5,4,4,Yes,spirited / gentle / bold,12.5-14 inches,32-40 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Glen Of Imaal Terrier/Glen Of Imaal Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Glen Of Imaal Terrier/Glen Of Imaal Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Glen Of Imaal Terrier/Glen Of Imaal Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Glen Of Imaal Terrier/Glen Of Imaal Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Glen Of Imaal Terrier/Glen Of Imaal Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Glen Of Imaal Terrier/Glen Of Imaal Terrier-5.jpg
Goberian,3,1,2,3,2,5,2,4,4,4,4,2,3,2,1,5,4,4,4,3,2,5,3,4,2,4,5,5,4,5,4,No,"Friendly, Intelligent, Active",21-24 inches,45-75 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goberian/Goberian-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goberian/Goberian-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goberian/Goberian-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goberian/Goberian-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goberian/Goberian-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goberian/Goberian-5.jpg
Goldador,4,2,4,3,4,5,4,5,5,5,5,5,3,3,2,4,4,3,4,3,4,5,2,1,1,4,5,5,5,5,5,No,"Friendly, Intelligent, Loyal",21-24 inches (male),55-75 pounds (male),10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldador/Goldador-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldador/Goldador-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldador/Goldador-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldador/Goldador-3.jpg
Golden Cavalier,3,4,4,2,3,3,3,5,5,5,5,5,3,3,2,3,3,4,3,3,4,4,2,3,3,2,4,4,3,3,5,No,"Affectionate, Friendly, Intelligent",12-18 inches,10-30 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Cavalier/Golden Cavalier-featured.jpg,
Golden Cocker Retriever,3,1,4,4,1,2,4,4,5,4,4,3,3,4,1,4,4,4,3,3,4,4,2,2,3,4,4,5,2,4,5,No,"Intelligent, Friendly, Energetic",20-24 inches,40-65 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Cocker Retriever/Golden Cocker Retriever-featured.jpg,
Golden Mountain Dog,2,1,2,2,2,5,1,4,5,5,4,3,4,4,4,2,3,4,5,3,4,4,2,2,3,4,4,4,2,5,5,No,"Gentle, Friendly, Loyal",23-28 inches (male),70-120 pounds (male),10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Mountain Dog/Golden Mountain Dog-featured.jpg,
Golden Mountain Doodle,3,1,2,3,3,4,2,4,5,4,4,3,3,3,3,3,3,4,4,3,3,4,1,4,4,3,4,4,4,4,5,No,"Friendly, Intelligent, Affectionate",20-26 inches,50-90 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Mountain Doodle/Golden Mountain Doodle-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Mountain Doodle/Golden Mountain Doodle-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Mountain Doodle/Golden Mountain Doodle-2.jpg
Golden Retriever,3,2,3,5,1,3,3,5,5,5,5,5,4,5,4,2,2,5,3,4,5,5,5,3,3,2,4,5,2,5,5,Yes,intelligent / friendly / devoted,23-24 inches (male),65-75 pounds (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever/Golden Retriever-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever/Golden Retriever-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever/Golden Retriever-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever/Golden Retriever-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever/Golden Retriever-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever/Golden Retriever-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever/Golden Retriever-6.jpg
Golden Retriever Corgi,3,3,4,3,3,3,3,5,5,5,4,4,3,4,3,3,3,4,3,3,4,4,3,2,3,2,4,4,3,3,5,No,"Affectionate, Intelligent, Playful",10-24 inches,25-75 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Retriever Corgi/Golden Retriever Corgi-featured.jpg,
Golden Shepherd,3,2,2,5,1,5,4,5,5,5,3,5,3,5,2,2,3,3,5,4,5,5,5,3,3,2,5,5,3,5,5,No,"Loyal, Intelligent, Energetic",21-26 inches,50-80 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Golden Shepherd/Golden Shepherd-featured.jpg,
Goldendoodle,3,1,4,4,3,3,3,5,5,5,5,4,3,2,1,4,3,3,4,3,4,5,1,1,3,3,4,4,3,5,5,No,"Friendly, Intelligent, Energetic",20-24 inches,50-90 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldendoodle/Goldendoodle-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldendoodle/Goldendoodle-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldendoodle/Goldendoodle-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldendoodle/Goldendoodle-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldendoodle/Goldendoodle-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldendoodle/Goldendoodle-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Goldendoodle/Goldendoodle-6.jpg
Gollie,3,1,4,3,2,3,3,5,5,5,4,4,3,4,2,3,3,4,3,3,4,4,2,2,2,4,4,5,3,4,5,No,"Friendly, Intelligent, Active",20-24 inches,40-60 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gollie/Gollie-featured.jpg,
Gordon Setter,3,2,3,4,1,4,3,3,5,3,2,3,3,5,3,2,4,3,3,4,5,5,3,4,5,4,4,5,2,5,5,Yes,confident / affectionate / bold,24-27 inches (male),55-80 pounds (male),12-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gordon Setter/Gordon Setter-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gordon Setter/Gordon Setter-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gordon Setter/Gordon Setter-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gordon Setter/Gordon Setter-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gordon Setter/Gordon Setter-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gordon Setter/Gordon Setter-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Gordon Setter/Gordon Setter-6.jpg
Great Dane,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3,5,3,2,3,4,3,5,5,5,5,5,Yes,friendly / patient / dependable,30-32 inches (male),140-175 pounds (male),7-10 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Great Dane/Great Dane-featured.jpg,
Great Pyrenees,3,1,1,4,3,5,3,4,5,4,4,3,4,5,2,4,2,4,5,4,1,4,2,5,5,5,5,5,5,5,4,Yes,smart / patient / calm,27-32 inches (male),100 pounds & up (male),10-12 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Great Pyrenees/Great Pyrenees-featured.jpg,
Greater Swiss Mountain Dog,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3,3,3,3,4,4,3,4,5,4,3,5,Yes,faithful / family-oriented / dependable,25.5-28.5 inches (male),115-140 pounds (male),8-11 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greater Swiss Mountain Dog/Greater Swiss Mountain Dog-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greater Swiss Mountain Dog/Greater Swiss Mountain Dog-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greater Swiss Mountain Dog/Greater Swiss Mountain Dog-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greater Swiss Mountain Dog/Greater Swiss Mountain Dog-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greater Swiss Mountain Dog/Greater Swiss Mountain Dog-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greater Swiss Mountain Dog/Greater Swiss Mountain Dog-5.jpg
Greyador,3,3,2,5,1,1,3,5,5,5,5,5,5,5,4,5,4,5,4,4,3,5,5,4,4,4,4,4,4,4,4,No,"Friendly, Intelligent, Loyal",20-26 inches,50-80 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyador/Greyador-featured.jpg,
Greyhound,3,4,2,5,1,1,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,2,5,4,5,3,5,4,Yes,independent / gentle / noble,28-30 inches (male),65-70 pounds (male),10-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyhound/Greyhound-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyhound/Greyhound-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyhound/Greyhound-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyhound/Greyhound-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyhound/Greyhound-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyhound/Greyhound-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Greyhound/Greyhound-6.jpg
Hamiltonstovare,3,3,2,4,3,3,3,4,5,4,3,3,3,1,1,4,4,3,3,3,3,4,2,5,3,2,4,5,3,4,4,Yes,versatile / agile / regal,19-24 inches,40-75 pounds,14-17 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hamiltonstovare/Hamiltonstovare-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hamiltonstovare/Hamiltonstovare-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hamiltonstovare/Hamiltonstovare-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hamiltonstovare/Hamiltonstovare-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hamiltonstovare/Hamiltonstovare-4.jpg
Hanoverian Scenthound,3,2,1,4,3,3,3,4,5,5,4,3,3,2,1,4,4,3,4,3,2,4,2,4,3,2,4,4,3,4,4,Yes,independent / loyal / calm,19-21 inches,79-99 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hanoverian Scenthound/Hanoverian Scenthound-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hanoverian Scenthound/Hanoverian Scenthound-1.jpg
Harrier,3,1,3,2,3,3,4,5,4,5,5,5,3,3,1,5,5,3,3,4,2,4,3,4,4,5,5,5,4,5,5,Yes,friendly / outgoing / people-oriented,19-21 inches,45-60 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Harrier/Harrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Harrier/Harrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Harrier/Harrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Harrier/Harrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Harrier/Harrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Harrier/Harrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Harrier/Harrier-6.jpg
Havanese,4,5,5,4,1,3,4,5,5,4,5,5,2,2,1,1,3,4,2,3,5,4,3,4,2,2,3,3,2,3,5,Yes,intelligent / outgoing / funny,8.5-11.5 inches,7-13 pounds,14-16 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havanese/Havanese-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havanese/Havanese-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havanese/Havanese-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havanese/Havanese-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havanese/Havanese-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havanese/Havanese-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havanese/Havanese-6.jpg
Havapoo,4,5,5,4,1,3,4,4,5,4,4,4,2,1,1,1,3,4,2,4,5,5,3,3,2,3,3,3,2,3,5,No,"Friendly, Intelligent, Affectionate",8-15 inches,7-20 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havapoo/Havapoo-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havapoo/Havapoo-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Havapoo/Havapoo-2.jpg
Hmong Bobtail Dog,3,2,1,3,5,4,3,3,4,2,2,2,2,1,1,2,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,No,"Loyal, Playful, Intelligent",17-22 inches,25-55 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hmong Bobtail Dog/Hmong Bobtail Dog-featured.jpg,
Hokkaido,3,3,2,2,3,5,2,4,4,4,3,3,3,4,2,1,5,3,3,3,3,4,3,4,3,3,3,3,2,3,3,Yes,dignified / alert / devoted,18-20 inches,44-66 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hokkaido/Hokkaido-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hokkaido/Hokkaido-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hokkaido/Hokkaido-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hokkaido/Hokkaido-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hokkaido/Hokkaido-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hokkaido/Hokkaido-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hokkaido/Hokkaido-6.jpg
Horgi,3,2,2,4,2,4,3,5,5,5,4,5,3,4,2,3,3,3,2,4,4,4,4,4,3,3,4,4,3,4,4,No,"Playful, Intelligent, Friendly",10-15 inches,25-50 pounds,12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Horgi/Horgi-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Horgi/Horgi-1.jpg
Hovawart,3,1,2,3,2,4,3,3,4,4,2,2,3,3,1,4,4,3,4,2,2,4,2,2,2,2,4,4,4,4,4,Yes,alert / intelligent / faithful,23-28 inches,65-90 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hovawart/Hovawart-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hovawart/Hovawart-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hovawart/Hovawart-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hovawart/Hovawart-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Hovawart/Hovawart-4.jpg
Huskita,3,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,4,2,3,3,4,5,5,5,4,4,5,5,No,"Loyal, Adaptable, Intelligent",20-24 inches,45-65 pounds,10-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Huskita/Huskita-featured.jpg,
Huskydoodle,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2,3,4,4,3,3,3,5,3,4,2,2,5,5,4,5,4,No,"Friendly, Intelligent, Active",20-24 inches,45-60 pounds,10-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Huskydoodle/Huskydoodle-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Huskydoodle/Huskydoodle-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Huskydoodle/Huskydoodle-2.jpg
Ibizan Hound,3,5,3,4,2,1,4,5,5,5,5,4,3,3,1,5,4,1,3,4,3,4,3,5,2,5,5,5,3,5,5,Yes,family-oriented / even-tempered / polite,23.5-27.5 inches (male),50 pounds (male),11-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Ibizan Hound/Ibizan Hound-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Ibizan Hound/Ibizan Hound-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Ibizan Hound/Ibizan Hound-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Ibizan Hound/Ibizan Hound-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Ibizan Hound/Ibizan Hound-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Ibizan Hound/Ibizan Hound-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Ibizan Hound/Ibizan Hound-6.jpg
Icelandic Sheepdog,3,1,1,3,2,5,3,3,4,4,2,2,3,5,1,1,3,3,3,3,3,4,3,4,1,4,4,4,5,4,4,Yes,friendly / playful / inquisitive,18 inches (male),30 pounds (male),12-14 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Icelandic Sheepdog/Icelandic Sheepdog-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Icelandic Sheepdog/Icelandic Sheepdog-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Icelandic Sheepdog/Icelandic Sheepdog-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Icelandic Sheepdog/Icelandic Sheepdog-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Icelandic Sheepdog/Icelandic Sheepdog-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Icelandic Sheepdog/Icelandic Sheepdog-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Icelandic Sheepdog/Icelandic Sheepdog-6.jpg
Irish Red And White Setter,3,1,3,4,1,4,3,4,5,4,4,4,2,3,1,3,2,2,3,4,4,4,4,3,3,4,5,5,5,5,5,Yes,courageous / spirited / determined,24.5-26 inches (male),42-60 pounds (male),11-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Red And White Setter/Irish Red And White Setter-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Red And White Setter/Irish Red And White Setter-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Red And White Setter/Irish Red And White Setter-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Red And White Setter/Irish Red And White Setter-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Red And White Setter/Irish Red And White Setter-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Red And White Setter/Irish Red And White Setter-5.jpg
Irish Setter,3,1,3,4,2,4,3,5,5,5,5,5,3,4,2,3,2,3,4,5,4,5,5,5,4,5,5,5,3,5,5,Yes,active / sweet-natured / outgoing,27 inches (male),70 pounds (male),12-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Setter/Irish Setter-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Setter/Irish Setter-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Setter/Irish Setter-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Setter/Irish Setter-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Setter/Irish Setter-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Setter/Irish Setter-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Setter/Irish Setter-6.jpg
Irish Terrier,3,3,2,3,2,4,4,4,5,5,1,3,3,4,1,2,5,3,3,3,1,4,1,2,4,3,5,5,4,4,5,Yes,bold / dashing / tenderhearted,18 inches,27 pounds (male),13-15 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Terrier/Irish Terrier-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Terrier/Irish Terrier-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Terrier/Irish Terrier-2.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Terrier/Irish Terrier-3.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Terrier/Irish Terrier-4.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Terrier/Irish Terrier-5.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Terrier/Irish Terrier-6.jpg
Irish Water Spaniel,3,3,2,4,3,4,4,5,5,5,4,5,2,1,2,3,2,3,3,4,5,4,3,5,4,3,4,5,3,5,4,Yes,playful / hardworking / brave,22-24 inches (male),55-68 pounds (male),12-13 years,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Water Spaniel/Irish Water Spaniel-featured.jpg,https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Water Spaniel/Irish Water Spaniel-1.jpg|https://dog-breed-selector-images.s3.ap-northeast-1.amazonaws.com/dog/Irish Water Spaniel/Irish Water Spaniel-2.jpg
